Address1,Addess2,Address3,Post_Code,Ward Code,Property_Type_Code,Commencement_Date,Number of Expressions of Interest
1 ABERFIELD DRIVE,BELLE ISLE,LEEDS,LS10 3PX,MI,1BF,30-JUN-2014,68
1 APPLETON SQUARE,BURMANTOFTS,LEEDS,LS9 7RU,BR,1BMSF,14-JUL-2014,66
1 ASQUITH CLOSE,MORLEY,LEEDS,LS27 9QH,MN,1BB,03-MAR-2014,109
1 AVIARY TERRACE,ARMLEY,LEEDS,LS12 2NR,AM,1BH,10-NOV-2014,83
1 AYSGARTH WALK,EAST END PARK,LEEDS,LS9 9HH,BR,3BH,13-JAN-2014,1
1 BAILEY TOWERS,SEACROFT,LEEDS,LS14 6PJ,KS,1BMSF,13-JAN-2014,60
1 BARDEN TERRACE,ARMLEY,LEEDS,LS12 3EG,AM,2BH,27-OCT-2014,18
1 BARNCROFT COURT,SEACROFT,LEEDS,LS14 1HT,KS,1BMSF,28-JUL-2014,21
1 BECKHILL CHASE,MEANWOOD,LEEDS,LS7 2RQ,CA,1BF,05-MAY-2014,124
1 BEECH VIEW,ABERFORD,LEEDS,LS25 3BW,HA,3BH,17-MAR-2014,50
1 BELINDA STREET,HUNSLET,LEEDS,LS10 2PR,CH,1/2BH,28-APR-2014,53
1 BRANDER APPROACH,GIPTON,LEEDS,LS9 6NT,GH,2BH,19-MAY-2014,84
1 BRATHAY GARDENS,SEACROFT,LEEDS,LS14 6DF,KS,4BH,14-JUL-2014,20
1 BROADLEA ROAD,BRAMLEY,LEEDS,LS13 2RZ,BS,2BH,19-MAY-2014,131
1 BROOM GROVE,BELLE ISLE,LEEDS,LS10 3LW,MI,1BH,14-APR-2014,69
1 BURNSALL GRANGE,ARMLEY,LEEDS,LS12 3LQ,AM,3BMSF,28-JUL-2014,5
1 CARLTON PLACE,SHEEPSCAR,LEEDS,LS7 1NX,HW,1BF,02-JUN-2014,102
1 CHELTENHAM STREET,ARMLEY,LEEDS,LS12 1HA,AM,3BH,17-MAR-2014,31
1 CHESTER STREET,ARMLEY,LEEDS,LS12 2NW,AM,1BH,12-MAY-2014,134
1 CLAREMONT GROVE,PUDSEY,LEEDS,LS28 7DJ,PU,C2S1BF,10-MAR-2014,45
1 CLAYTON COURT,WEST PARK,LEEDS,LS16 5EH,KI,1BMSF,29-SEP-2014,76
1 CLAYTON GRANGE,WEST PARK,LEEDS,LS16 5EQ,KI,1BMSF,27-OCT-2014,34
1 COLDCOTES CLOSE,GIPTON,LEEDS,LS9 6QB,GH,2BH,02-JUN-2014,133
1 COLENSO TERRACE,HOLBECK,LEEDS,LS11 0DE,BH,2BH,24-NOV-2014,16
1 COPPICE WOOD GROVE,GUISELEY,LEEDS,LS20 9JT,GR,2BF,03-FEB-2014,45
1 CRANMORE LANE,BELLE ISLE,LEEDS,LS10 4AL,MI,2BH,05-MAY-2014,136
1 DURRANT CLOSE,WALTON ROAD,WETHERBY,LS22 6RH,WY,C2S1BF,15-SEP-2014,1
1 EAST PARK PLACE,EAST END PARK,LEEDS,LS9 9JY,BR,3BH,28-JUL-2014,8
1 EAST PARK TERRACE,EAST END PARK,LEEDS,LS9 9LA,BR,2BH,19-MAY-2014,14
1 ELMFIELD HOUSE,MORLEY,LEEDS,LS27 0EY,MS,2BF,07-JUL-2014,45
1 FAIRVIEW HOUSE,DEIGHTON ROAD,WETHERBY,LS22 6SX,WY,C2SBED,24-NOV-2014,4
1 FLAXTON GARDENS,HOLBECK,LEEDS,LS11 6DG,CH,1/2BH,24-NOV-2014,21
1 GILPIN TERRACE,ARMLEY,LEEDS,LS12 1HL,AM,3BH,15-SEP-2014,16
1 GLEDHOW TOWERS,GLEDHOW,LEEDS,LS8 1QJ,RO,1BMSF,26-MAY-2014,74
1 GRAYRIGG CLOSE,HALTON MOOR,LEEDS,LS15 0DF,TN,3BH,16-JUN-2014,36
1 GRAYSON CREST,KIRKSTALL,LEEDS,LS4 2UB,KI,3BMSF,10-NOV-2014,10
1 GREENFOLD LANE,WALTON ROAD,WETHERBY,LS22 6RG,WY,C2S1BF,01-DEC-2014,10
1 HARLEY RISE,SWINNOW,LEEDS,LS13 4RB,PU,3BH,28-APR-2014,63
1 HARLEY RISE,SWINNOW,LEEDS,LS13 4RB,PU,3BH,09-JUN-2014,0
1 HIGH RIDGE COURT,ROTHWELL,LEEDS,LS26 0UZ,RL,C2S2BF,17-FEB-2014,8
1 HIGHWAYS,KILLINGBECK,LEEDS,LS14 6AT,KS,1BMSF,29-SEP-2014,24
1 HODGSON HOUSE,DEIGHTON ROAD,WETHERBY,LS22 6XG,WY,C2S1BF,08-DEC-2014,8
1 HOLMSLEY FIELD COURT,OULTON,LEEDS,LS26 8TG,RL,C2S1BB,24-FEB-2014,39
1 INTAKE LANE,MIDDLETON,LEEDS,LS10 4DY,MI,3BH,05-MAY-2014,40
1 KENTMERE APPROACH,SEACROFT,LEEDS,LS14 1JW,KS,2BH,01-DEC-2014,169
1 KIRKFIELD CRESCENT,THORNER,LEEDS,LS14 3EN,HA,3BH,18-AUG-2014,58
1 LARKHILL ROAD,GLEDHOW,LEEDS,LS8 1RE,RO,3BH,15-DEC-2014,109
